TeamNumber,TeamName,MatchNumber,AllianceColor,AutonomousSkystoneDeliver,AutonomousStoneDeliver,AutonomousFoundationMoved,AutonomousParked,TeleOpGlyphStonePlaced,TeleOpGlyphStoneDelivered,EndGameCapstone,EndGameCapstoneLevels,EndGameFoundationMoved,EndGameParking,ExtrasRobotScoringEffeciencyTransportingStones,ExtrasRobotScoringEffeciencyPlacingStones,ExtrasRobotSpeed,ExtrasRobotProblemsConnections,ExtrasRobotProblemsMechanical,ExtrasComments
4150,Dark Matter,3,Red,No Attempt,0,Achieved,0,No Attempt,1,1,0,0,0,1,bad,so-so,slow,,,
4150,Dark Matter,5,Blue,No Attempt,0,No Attempt,0,Parked,0,0,0,0,0,0,did not attempt,did not attempt,did not move,,,died half way through
4150,Dark Matter,8,Blue,No Attempt,0,Achieved,0,Parked,1,2,0,0,0,1,so-so,bad,slow,,,
4150,Dark Matter,9,Blue,No Attempt,0,No Attempt,0,Parked,3,3,0,0,1,1,so-so,did not attempt,medium,,,
4150,Dark Matter,10,Red,No Attempt,0,No Attempt,0,Parked,1,1,0,0,0,0,good,bad,medium,yes,yes,
4150,Dark Matter,15,Blue,No Attempt,0,Achieved,0,Parked,2,3,0,0,1,1,so-so,so-so,slow,,,
4150,Dark Matter,20,Blue,No Attempt,0,Achieved,0,Parked,2,3,0,0,0,0,so-so,so-so,fast,,,
4150,Dark Matter,21,Red,No Attempt,0,No Attempt,0,Parked,5,0,0,0,1,1,so-so,so-so,medium,,,
4150,Dark Matter,30,Blue,No Attempt,0,No Attempt,0,Parked,0,2,0,0,1,1,so-so,did not attempt,fast,,,


